Sector,Archetype,End-use,DNO,Technical Flex MW,Central Hurdle Cost (£/MWh),Economic Flex MW
Industrial,Chemicals & Petrochemicals,High-temperature process heat,ENWL,0.0259820463184181,900.0,0.0
Industrial,Chemicals & Petrochemicals,High-temperature process heat,NPG (Northern Electric),0.4897711360897879,900.0,0.0
Industrial,Chemicals & Petrochemicals,High-temperature process heat,NPG (Yorkshire Electric),0.1405765649082477,900.0,0.0
Industrial,Chemicals & Petrochemicals,High-temperature process heat,SPEN (SP Distribution),0.3620624728074993,900.0,0.0
Industrial,Chemicals & Petrochemicals,High-temperature process heat,SPEN (SP MANWEB),0.2110891779056444,900.0,0.0
Industrial,Chemicals & Petrochemicals,High-temperature process heat,SSE,0.0,900.0,0.0
Industrial,Chemicals & Petrochemicals,High-temperature process heat,SSE (Southern),0.0095591098469195,900.0,0.0
Industrial,Chemicals & Petrochemicals,High-temperature process heat,UKPN (East),0.0151026466313893,900.0,0.0
Industrial,Chemicals & Petrochemicals,High-temperature process heat,UKPN (London),0.0,900.0,0.0
Industrial,Chemicals & Petrochemicals,High-temperature process heat,UKPN (South),0.0043123046243122,900.0,0.0
Industrial,Chemicals & Petrochemicals,High-temperature process heat,WPD (East Midlands),0.0075231437125842,900.0,0.0
Industrial,Chemicals & Petrochemicals,High-temperature process heat,WPD (Midlands),0.0045369690916664,900.0,0.0
Industrial,Chemicals & Petrochemicals,High-temperature process heat,WPD (South Wales),0.0372920965778555,900.0,0.0
Industrial,Chemicals & Petrochemicals,High-temperature process heat,WPD (South West),0.0,900.0,0.0
Industrial,Chemicals & Petrochemicals,Low/medium-temperature process heat,ENWL,0.5352601939200443,500.0,0.5352601939200443
Industrial,Chemicals & Petrochemicals,Low/medium-temperature process heat,NPG (Northern Electric),10.08985166399398,500.0,10.08985166399398
Industrial,Chemicals & Petrochemicals,Low/medium-temperature process heat,NPG (Yorkshire Electric),2.89603976804793,500.0,2.89603976804793
Industrial,Chemicals & Petrochemicals,Low/medium-temperature process heat,SPEN (SP Distribution),7.458905546971233,500.0,7.458905546971233
Industrial,Chemicals & Petrochemicals,Low/medium-temperature process heat,SPEN (SP MANWEB),4.3486811206284095,500.0,4.3486811206284095
Industrial,Chemicals & Petrochemicals,Low/medium-temperature process heat,SSE,0.0,500.0,0.0
Industrial,Chemicals & Petrochemicals,Low/medium-temperature process heat,SSE (Southern),0.1969287148386814,500.0,0.1969287148386814
Industrial,Chemicals & Petrochemicals,Low/medium-temperature process heat,UKPN (East),0.3111319818906219,500.0,0.3111319818906219
Industrial,Chemicals & Petrochemicals,Low/medium-temperature process heat,UKPN (London),0.0,500.0,0.0
Industrial,Chemicals & Petrochemicals,Low/medium-temperature process heat,UKPN (South),0.088838461034357,500.0,0.088838461034357
Industrial,Chemicals & Petrochemicals,Low/medium-temperature process heat,WPD (East Midlands),0.1549854585407178,500.0,0.1549854585407178
Industrial,Chemicals & Petrochemicals,Low/medium-temperature process heat,WPD (Midlands),0.0934668088130213,500.0,0.0934668088130213
Industrial,Chemicals & Petrochemicals,Low/medium-temperature process heat,WPD (South Wales),0.7682603056479816,500.0,0.7682603056479816
Industrial,Chemicals & Petrochemicals,Low/medium-temperature process heat,WPD (South West),0.0,500.0,0.0
Industrial,Chemicals & Petrochemicals,Steam generation,ENWL,0.2882170274954084,450.0,0.2882170274954084
Industrial,Chemicals & Petrochemicals,Steam generation,NPG (Northern Electric),5.432997049842912,450.0,5.432997049842912
Industrial,Chemicals & Petrochemicals,Steam generation,NPG (Yorkshire Electric),1.5594060289488854,450.0,1.5594060289488854
Industrial,Chemicals & Petrochemicals,Steam generation,SPEN (SP Distribution),4.016333756061433,450.0,4.016333756061433
Industrial,Chemicals & Petrochemicals,Steam generation,SPEN (SP MANWEB),2.34159752649222,450.0,2.34159752649222
Industrial,Chemicals & Petrochemicals,Steam generation,SSE,0.0,450.0,0.0
Industrial,Chemicals & Petrochemicals,Steam generation,SSE (Southern),0.1060385387592899,450.0,0.1060385387592899
Industrial,Chemicals & Petrochemicals,Steam generation,UKPN (East),0.1675326056334117,450.0,0.1675326056334117
Industrial,Chemicals & Petrochemicals,Steam generation,UKPN (London),0.0,450.0,0.0
Industrial,Chemicals & Petrochemicals,Steam generation,UKPN (South),0.0478360944031153,450.0,0.0478360944031153
Industrial,Chemicals & Petrochemicals,Steam generation,WPD (East Midlands),0.0834537084450019,450.0,0.0834537084450019
Industrial,Chemicals & Petrochemicals,Steam generation,WPD (Midlands),0.0503282816685499,450.0,0.0503282816685499
Industrial,Chemicals & Petrochemicals,Steam generation,WPD (South Wales),0.4136786261181439,450.0,0.4136786261181439
Industrial,Chemicals & Petrochemicals,Steam generation,WPD (South West),0.0,450.0,0.0
Industrial,Chemicals & Petrochemicals,Drying & evaporation,ENWL,0.4522436731668538,500.0,0.4522436731668538
Industrial,Chemicals & Petrochemicals,Drying & evaporation,NPG (Northern Electric),8.524959692621845,500.0,8.524959692621845
Industrial,Chemicals & Petrochemicals,Drying & evaporation,NPG (Yorkshire Electric),2.446876635356376,500.0,2.446876635356376
Industrial,Chemicals & Petrochemicals,Drying & evaporation,SPEN (SP Distribution),6.302061839612115,500.0,6.302061839612115
Industrial,Chemicals & Petrochemicals,Drying & evaporation,SPEN (SP MANWEB),3.674219651981288,500.0,3.674219651981288
Industrial,Chemicals & Petrochemicals,Drying & evaporation,SSE,0.0,500.0,0.0
Industrial,Chemicals & Petrochemicals,Drying & evaporation,SSE (Southern),0.1663859303611445,500.0,0.1663859303611445
Industrial,Chemicals & Petrochemicals,Drying & evaporation,UKPN (East),0.2628767689586803,500.0,0.2628767689586803
Industrial,Chemicals & Petrochemicals,Drying & evaporation,UKPN (London),0.0,500.0,0.0
Industrial,Chemicals & Petrochemicals,Drying & evaporation,UKPN (South),0.0750600033274089,500.0,0.0750600033274089
Industrial,Chemicals & Petrochemicals,Drying & evaporation,WPD (East Midlands),0.1309478901178543,500.0,0.1309478901178543
Industrial,Chemicals & Petrochemicals,Drying & evaporation,WPD (Midlands),0.0789705145589417,500.0,0.0789705145589417
Industrial,Chemicals & Petrochemicals,Drying & evaporation,WPD (South Wales),0.6491064841381289,500.0,0.6491064841381289
Industrial,Chemicals & Petrochemicals,Drying & evaporation,WPD (South West),0.0,500.0,0.0
Industrial,Chemicals & Petrochemicals,Refrigeration & process cooling,ENWL,1.772098999271937,425.0,1.772098999271937
Industrial,Chemicals & Petrochemicals,Refrigeration & process cooling,NPG (Northern Electric),33.40471837746433,425.0,33.40471837746433
Industrial,Chemicals & Petrochemicals,Refrigeration & process cooling,NPG (Yorkshire Electric),9.587989604129024,425.0,9.587989604129024
Industrial,Chemicals & Petrochemicals,Refrigeration & process cooling,SPEN (SP Distribution),24.69438079945485,425.0,24.69438079945485
Industrial,Chemicals & Petrochemicals,Refrigeration & process cooling,SPEN (SP MANWEB),14.397284815036173,425.0,14.397284815036173
Industrial,Chemicals & Petrochemicals,Refrigeration & process cooling,SSE,0.0,425.0,0.0
Industrial,Chemicals & Petrochemicals,Refrigeration & process cooling,SSE (Southern),0.6519767067634124,425.0,0.6519767067634124
Industrial,Chemicals & Petrochemicals,Refrigeration & process cooling,UKPN (East),1.0300722527336408,425.0,1.0300722527336408
Industrial,Chemicals & Petrochemicals,Refrigeration & process cooling,UKPN (London),0.0,425.0,0.0
Industrial,Chemicals & Petrochemicals,Refrigeration & process cooling,UKPN (South),0.2941196630798959,425.0,0.2941196630798959
Industrial,Chemicals & Petrochemicals,Refrigeration & process cooling,WPD (East Midlands),0.5131141435537699,425.0,0.5131141435537699
Industrial,Chemicals & Petrochemicals,Refrigeration & process cooling,WPD (Midlands),0.3094428471313492,425.0,0.3094428471313492
Industrial,Chemicals & Petrochemicals,Refrigeration & process cooling,WPD (South Wales),2.5434981608636265,425.0,2.5434981608636265
Industrial,Chemicals & Petrochemicals,Refrigeration & process cooling,WPD (South West),0.0,425.0,0.0
Industrial,Chemicals & Petrochemicals,Pumping & fluid handling,ENWL,4.6739390249633885,325.0,4.6739390249633885
Industrial,Chemicals & Petrochemicals,Pumping & fluid handling,NPG (Northern Electric),88.10547091696824,325.0,88.10547091696824
Industrial,Chemicals & Petrochemicals,Pumping & fluid handling,NPG (Yorkshire Electric),25.28847361241867,325.0,25.28847361241867
Industrial,Chemicals & Petrochemicals,Pumping & fluid handling,SPEN (SP Distribution),65.13181834835339,325.0,65.13181834835339
Industrial,Chemicals & Petrochemicals,Pumping & fluid handling,SPEN (SP MANWEB),37.97306548796492,325.0,37.97306548796492
Industrial,Chemicals & Petrochemicals,Pumping & fluid handling,SSE,0.0,325.0,0.0
Industrial,Chemicals & Petrochemicals,Pumping & fluid handling,SSE (Southern),1.7195988341286808,325.0,1.7195988341286808
Industrial,Chemicals & Petrochemicals,Pumping & fluid handling,UKPN (East),2.7168317924459857,325.0,2.7168317924459857
Industrial,Chemicals & Petrochemicals,Pumping & fluid handling,UKPN (London),0.0,325.0,0.0
Industrial,Chemicals & Petrochemicals,Pumping & fluid handling,UKPN (South),0.7757452443926667,325.0,0.7757452443926667
Industrial,Chemicals & Petrochemicals,Pumping & fluid handling,WPD (East Midlands),1.3533466362781952,325.0,1.3533466362781952
Industrial,Chemicals & Petrochemicals,Pumping & fluid handling,WPD (Midlands),0.816160383701593,325.0,0.816160383701593
Industrial,Chemicals & Petrochemicals,Pumping & fluid handling,WPD (South Wales),6.708516464863043,325.0,6.708516464863043
Industrial,Chemicals & Petrochemicals,Pumping & fluid handling,WPD (South West),0.0,325.0,0.0
Industrial,Chemicals & Petrochemicals,Mechanical drives & machinery,ENWL,1.038653116658531,600.0,0.0
Industrial,Chemicals & Petrochemicals,Mechanical drives & machinery,NPG (Northern Electric),19.57899353710406,600.0,0.0
Industrial,Chemicals & Petrochemicals,Mechanical drives & machinery,NPG (Yorkshire Electric),5.619660802759706,600.0,0.0
Industrial,Chemicals & Petrochemicals,Mechanical drives & machinery,SPEN (SP Distribution),14.473737410745205,600.0,0.0
Industrial,Chemicals & Petrochemicals,Mechanical drives & machinery,SPEN (SP MANWEB),8.43845899732554,600.0,0.0
Industrial,Chemicals & Petrochemicals,Mechanical drives & machinery,SSE,0.0,600.0,0.0
Industrial,Chemicals & Petrochemicals,Mechanical drives & machinery,SSE (Southern),0.382133074250818,600.0,0.0
Industrial,Chemicals & Petrochemicals,Mechanical drives & machinery,UKPN (East),0.6037403983213303,600.0,0.0
Industrial,Chemicals & Petrochemicals,Mechanical drives & machinery,UKPN (London),0.0,600.0,0.0
Industrial,Chemicals & Petrochemicals,Mechanical drives & machinery,UKPN (South),0.1723878320872593,600.0,0.0
Industrial,Chemicals & Petrochemicals,Mechanical drives & machinery,WPD (East Midlands),0.30074369695071,600.0,0.0
Industrial,Chemicals & Petrochemicals,Mechanical drives & machinery,WPD (Midlands),0.1813689741559096,600.0,0.0
Industrial,Chemicals & Petrochemicals,Mechanical drives & machinery,WPD (South Wales),1.490781436636232,600.0,0.0
Industrial,Chemicals & Petrochemicals,Mechanical drives & machinery,WPD (South West),0.0,600.0,0.0
Industrial,Chemicals & Petrochemicals,Compressed air,ENWL,1.902226451414527,450.0,1.902226451414527
Industrial,Chemicals & Petrochemicals,Compressed air,NPG (Northern Electric),35.857668745240666,450.0,35.857668745240666
Industrial,Chemicals & Petrochemicals,Compressed air,NPG (Yorkshire Electric),10.292047706338634,450.0,10.292047706338634
Industrial,Chemicals & Petrochemicals,Compressed air,SPEN (SP Distribution),26.50772015408017,450.0,26.50772015408017
Industrial,Chemicals & Petrochemicals,Compressed air,SPEN (SP MANWEB),15.454495496562188,450.0,15.454495496562188
Industrial,Chemicals & Petrochemicals,Compressed air,SSE,0.0,450.0,0.0
Industrial,Chemicals & Petrochemicals,Compressed air,SSE (Southern),0.6998521740721212,450.0,0.6998521740721212
Industrial,Chemicals & Petrochemicals,Compressed air,UKPN (East),1.1057117502030696,450.0,1.1057117502030696
Industrial,Chemicals & Petrochemicals,Compressed air,UKPN (London),0.0,450.0,0.0
Industrial,Chemicals & Petrochemicals,Compressed air,UKPN (South),0.3157172388346072,450.0,0.3157172388346072
Industrial,Chemicals & Petrochemicals,Compressed air,WPD (East Midlands),0.5507927586799066,450.0,0.5507927586799066
Industrial,Chemicals & Petrochemicals,Compressed air,WPD (Midlands),0.3321656235098105,450.0,0.3321656235098105
Industrial,Chemicals & Petrochemicals,Compressed air,WPD (South Wales),2.730270420956617,450.0,2.730270420956617
Industrial,Chemicals & Petrochemicals,Compressed air,WPD (South West),0.0,450.0,0.0
Industrial,Chemicals & Petrochemicals,"Fans, blowers & ventilation",ENWL,1.5579796749877963,350.0,1.5579796749877963
Industrial,Chemicals & Petrochemicals,"Fans, blowers & ventilation",NPG (Northern Electric),29.36849030565609,350.0,29.36849030565609
Industrial,Chemicals & Petrochemicals,"Fans, blowers & ventilation",NPG (Yorkshire Electric),8.429491204139559,350.0,8.429491204139559
Industrial,Chemicals & Petrochemicals,"Fans, blowers & ventilation",SPEN (SP Distribution),21.7106061161178,350.0,21.7106061161178
Industrial,Chemicals & Petrochemicals,"Fans, blowers & ventilation",SPEN (SP MANWEB),12.657688495988308,350.0,12.657688495988308
Industrial,Chemicals & Petrochemicals,"Fans, blowers & ventilation",SSE,0.0,350.0,0.0
Industrial,Chemicals & Petrochemicals,"Fans, blowers & ventilation",SSE (Southern),0.573199611376227,350.0,0.573199611376227
Industrial,Chemicals & Petrochemicals,"Fans, blowers & ventilation",UKPN (East),0.9056105974819956,350.0,0.9056105974819956
Industrial,Chemicals & Petrochemicals,"Fans, blowers & ventilation",UKPN (London),0.0,350.0,0.0
Industrial,Chemicals & Petrochemicals,"Fans, blowers & ventilation",UKPN (South),0.2585817481308889,350.0,0.2585817481308889
Industrial,Chemicals & Petrochemicals,"Fans, blowers & ventilation",WPD (East Midlands),0.4511155454260651,350.0,0.4511155454260651
Industrial,Chemicals & Petrochemicals,"Fans, blowers & ventilation",WPD (Midlands),0.2720534612338643,350.0,0.2720534612338643
Industrial,Chemicals & Petrochemicals,"Fans, blowers & ventilation",WPD (South Wales),2.236172154954348,350.0,2.236172154954348
Industrial,Chemicals & Petrochemicals,"Fans, blowers & ventilation",WPD (South West),0.0,350.0,0.0
Industrial,Chemicals & Petrochemicals,Material handling & conveying,ENWL,0.3894949187469489,275.0,0.3894949187469489
Industrial,Chemicals & Petrochemicals,Material handling & conveying,NPG (Northern Electric),7.342122576414018,275.0,7.342122576414018
Industrial,Chemicals & Petrochemicals,Material handling & conveying,NPG (Yorkshire Electric),2.1073728010348884,275.0,2.1073728010348884
Industrial,Chemicals & Petrochemicals,Material handling & conveying,SPEN (SP Distribution),5.427651529029448,275.0,5.427651529029448
Industrial,Chemicals & Petrochemicals,Material handling & conveying,SPEN (SP MANWEB),3.164422123997076,275.0,3.164422123997076
Industrial,Chemicals & Petrochemicals,Material handling & conveying,SSE,0.0,275.0,0.0
Industrial,Chemicals & Petrochemicals,Material handling & conveying,SSE (Southern),0.1432999028440566,275.0,0.1432999028440566
Industrial,Chemicals & Petrochemicals,Material handling & conveying,UKPN (East),0.2264026493704987,275.0,0.2264026493704987
Industrial,Chemicals & Petrochemicals,Material handling & conveying,UKPN (London),0.0,275.0,0.0
Industrial,Chemicals & Petrochemicals,Material handling & conveying,UKPN (South),0.0646454370327222,275.0,0.0646454370327222
Industrial,Chemicals & Petrochemicals,Material handling & conveying,WPD (East Midlands),0.1127788863565162,275.0,0.1127788863565162
Industrial,Chemicals & Petrochemicals,Material handling & conveying,WPD (Midlands),0.068013365308466,275.0,0.068013365308466
